Date,Open,High,Low,Close,Adj Close,Volume
2023-06-29,334.71 ,336.11 ,332.62 ,335.05 ,332.4493408,16997000
2023-06-30,337.75 ,342.73 ,337.20 ,340.54 ,337.896759,26823800
2023-07-03,339.19 ,340.90 ,336.57 ,337.99 ,335.3665161,12508700
2023-07-05,335.09 ,341.65 ,334.73 ,338.15 ,335.5252991,18172400
2023-07-06,337.30 ,342.99 ,335.50 ,341.27 ,338.6210938,28161200
2023-07-07,339.32 ,341.79 ,337.00 ,337.22 ,334.6025085,21185300
2023-07-10,334.60 ,335.23 ,327.59 ,331.83 ,329.2543335,32791400
2023-07-11,331.06 ,332.86 ,327.00 ,332.47 ,329.8894043,26698200
2023-07-12,336.60 ,341.65 ,335.67 ,337.20 ,334.5826721,29995300
2023-07-13,339.56 ,343.74 ,339.02 ,342.66 ,340.0002747,20567200
2023-07-14,347.59 ,351.43 ,344.31 ,345.24 ,342.5602722,28302200
2023-07-17,345.68 ,346.99 ,342.20 ,345.73 ,343.0464478,20363900
2023-07-18,345.83 ,366.78 ,342.17 ,359.49 ,356.6996155,64872700
2023-07-19,361.75 ,362.46 ,352.44 ,355.08 ,352.3238831,39732900
2023-07-20,353.57 ,357.97 ,345.37 ,346.87 ,344.1776428,33778400
2023-07-21,349.15 ,350.30 ,339.83 ,343.77 ,341.1016541,69368900
2023-07-24,345.85 ,346.92 ,342.31 ,345.11 ,342.4312744,26678100
2023-07-25,347.11 ,351.89 ,345.07 ,350.98 ,348.2557373,41637700
2023-07-26,341.44 ,344.67 ,333.11 ,337.77 ,335.1482544,58383700
2023-07-27,340.48 ,341.33 ,329.05 ,330.72 ,328.1529541,39635300
2023-07-28,333.67 ,340.01 ,333.17 ,338.37 ,335.7435913,28484900
2023-07-31,336.92 ,337.70 ,333.36 ,335.92 ,333.3126221,25446000
2023-08-01,335.19 ,338.54 ,333.70 ,336.34 ,333.7293396,18311900
2023-08-02,333.63 ,333.63 ,326.36 ,327.50 ,324.9579773,27761300
2023-08-03,326.00 ,329.88 ,325.95 ,326.66 ,324.1244812,18253700
2023-08-04,331.88 ,335.14 ,327.24 ,327.78 ,325.2357788,23727700
2023-08-07,328.37 ,331.11 ,327.52 ,330.11 ,327.5476685,17741500
2023-08-08,326.96 ,328.75 ,323.00 ,326.05 ,323.5192261,22327600
2023-08-09,326.47 ,327.11 ,321.05 ,322.23 ,319.7289124,22373300
2023-08-10,326.02 ,328.26 ,321.18 ,322.93 ,320.4234314,20113700
2023-08-11,320.26 ,322.41 ,319.21 ,321.01 ,318.5183411,24342600
2023-08-14,321.39 ,324.06 ,320.08 ,324.04 ,321.5248413,18836100
2023-08-15,323.00 ,325.09 ,320.90 ,321.86 ,319.3616943,16966300
2023-08-16,320.80 ,324.42 ,319.80 ,320.40 ,318.5861511,20698900
2023-08-17,320.54 ,321.87 ,316.21 ,316.88 ,315.0861206,21257200
2023-08-18,314.49 ,318.38 ,311.55 ,316.48 ,314.688385,24744800
2023-08-21,317.93 ,322.77 ,317.04 ,321.88 ,320.0578003,24040000
2023-08-22,325.50 ,326.08 ,321.46 ,322.46 ,320.634491,16102000
2023-08-23,323.82 ,329.20 ,323.46 ,327.00 ,325.1488037,21166400
2023-08-24,332.85 ,332.98 ,319.96 ,319.97 ,318.1585999,23281400
2023-08-25,321.47 ,325.36 ,318.80 ,322.98 ,321.1515808,21684100
2023-08-28,325.66 ,326.15 ,321.72 ,323.70 ,321.8674927,14808500
2023-08-29,321.88 ,328.98 ,321.88 ,328.41 ,326.5508118,19284600
2023-08-30,328.67 ,329.81 ,326.45 ,328.79 ,326.9286804,15222100
2023-08-31,329.20 ,330.91 ,326.78 ,327.76 ,325.904541,26411000
2023-09-01,331.31 ,331.99 ,326.78 ,328.66 ,326.799408,14931200
2023-09-05,329.00 ,334.85 ,328.66 ,333.55 ,331.6616821,18553900
2023-09-06,333.38 ,334.46 ,330.18 ,332.88 ,330.9955444,17535800
2023-09-07,331.29 ,333.08 ,329.03 ,329.91 ,328.0423279,18381000
2023-09-08,330.09 ,336.16 ,329.46 ,334.27 ,332.3776245,19530100
2023-09-11,337.24 ,338.42 ,335.43 ,337.94 ,336.0268555,16583300
2023-09-12,335.82 ,336.79 ,331.48 ,331.77 ,329.8917847,17565500
2023-09-13,331.31 ,336.85 ,331.17 ,336.06 ,334.1575317,16544400
2023-09-14,339.15 ,340.86 ,336.57 ,338.70 ,336.7825623,20267000
2023-09-15,336.92 ,337.40 ,329.65 ,330.22 ,328.3505554,37666900
2023-09-18,327.80 ,330.40 ,326.36 ,329.06 ,327.197113,16834200
2023-09-19,326.17 ,329.39 ,324.51 ,328.65 ,326.7894287,16505900
2023-09-20,329.51 ,329.59 ,320.51 ,320.77 ,318.954071,21436500
2023-09-21,319.26 ,325.35 ,315.00 ,319.53 ,317.7210999,35529500
2023-09-22,321.32 ,321.45 ,316.15 ,317.01 ,315.2153625,21447900
2023-09-25,316.59 ,317.67 ,315.00 ,317.54 ,315.7423706,17836000
2023-09-26,315.13 ,315.88 ,310.02 ,312.14 ,310.3729553,26297600
2023-09-27,312.30 ,314.30 ,309.69 ,312.79 ,311.0192261,19410100
2023-09-28,310.99 ,315.48 ,309.45 ,313.64 ,311.8644409,19683600
2023-09-29,317.75 ,319.47 ,314.98 ,315.75 ,313.9624939,24140300
2023-10-02,316.28 ,321.89 ,315.18 ,321.80 ,319.978241,20570000
2023-10-03,320.83 ,321.39 ,311.21 ,313.39 ,311.6158447,21033500
2023-10-04,314.03 ,320.04 ,314.00 ,318.96 ,317.1543274,20720100
2023-10-05,319.09 ,319.98 ,314.90 ,319.36 ,317.5520325,16965600
2023-10-06,316.55 ,329.19 ,316.30 ,327.26 ,325.4073486,25645500
2023-10-09,324.75 ,330.30 ,323.18 ,329.82 ,327.9528503,19891200
2023-10-10,330.96 ,331.10 ,327.67 ,328.39 ,326.5309753,20557100
2023-10-11,331.21 ,332.82 ,329.14 ,332.42 ,330.538147,20063200
2023-10-12,330.57 ,333.63 ,328.72 ,331.16 ,329.2852783,19313100
2023-10-13,332.38 ,333.83 ,326.36 ,327.73 ,325.8746948,21072400
2023-10-16,331.05 ,336.14 ,330.60 ,332.64 ,330.756897,22158000
2023-10-17,329.59 ,333.46 ,327.41 ,332.06 ,330.1801453,18338500
2023-10-18,332.49 ,335.59 ,328.30 ,330.11 ,328.2411804,23153600
2023-10-19,332.15 ,336.88 ,330.91 ,331.32 ,329.4443359,25052100
2023-10-20,331.72 ,331.92 ,325.45 ,326.67 ,324.8207092,25012600
2023-10-23,325.47 ,332.73 ,324.39 ,329.32 ,327.4556885,24374700
2023-10-24,331.30 ,331.84 ,327.60 ,330.53 ,328.658844,31153600
2023-10-25,345.02 ,346.20 ,337.62 ,340.67 ,338.7414551,55053800
2023-10-26,340.54 ,341.63 ,326.94 ,327.89 ,326.033783,37828500
2023-10-27,330.43 ,336.72 ,328.40 ,329.81 ,327.9429016,29856500
2023-10-30,333.41 ,339.45 ,331.83 ,337.31 ,335.4004211,22828100
2023-10-31,338.85 ,339.00 ,334.69 ,338.11 ,336.1958923,20265300
2023-11-01,339.79 ,347.42 ,339.65 ,346.07 ,344.1108704,28158800
2023-11-02,347.24 ,348.83 ,344.77 ,348.32 ,346.348114,24348100
2023-11-03,349.63 ,354.39 ,347.33 ,352.80 ,350.8027344,23624000
2023-11-06,353.45 ,357.54 ,353.35 ,356.53 ,354.5116272,23828300
2023-11-07,359.40 ,362.46 ,357.63 ,360.53 ,358.4890137,25833900
2023-11-08,361.68 ,363.87 ,360.55 ,363.20 ,361.1438904,26767800
2023-11-09,362.30 ,364.79 ,360.36 ,360.69 ,358.6480713,24847300
2023-11-10,361.49 ,370.10 ,361.07 ,369.67 ,367.5772705,28042100
2023-11-13,368.22 ,368.47 ,365.90 ,366.68 ,364.6041565,19986500
2023-11-14,371.01 ,371.95 ,367.35 ,370.27 ,368.1738281,27683900
2023-11-15,371.28 ,373.13 ,367.11 ,369.67 ,368.3233032,26860100
2023-11-16,370.96 ,376.35 ,370.18 ,376.17 ,374.7996521,27182300
2023-11-17,373.61 ,374.37 ,367.00 ,369.85 ,368.502655,40157000
2023-11-20,371.22 ,378.87 ,371.00 ,377.44 ,376.0650024,52465100
2023-11-21,375.67 ,376.22 ,371.12 ,373.07 ,371.710907,28423100
2023-11-22,378.00 ,379.79 ,374.97 ,377.85 ,376.4735107,23345300
2023-11-24,377.33 ,377.97 ,375.14 ,377.43 ,376.0549927,10176600
2023-11-27,376.78 ,380.64 ,376.20 ,378.61 ,377.2307129,22179200
2023-11-28,378.35 ,383.00 ,378.16 ,382.70 ,381.3058472,20453100
2023-11-29,383.76 ,384.30 ,377.44 ,378.85 ,377.4698486,28963400
2023-11-30,378.49 ,380.09 ,375.47 ,378.91 ,377.5296326,30554400
2023-12-01,376.76 ,378.16 ,371.31 ,374.51 ,373.1456604,33020400
